filename,datapoints,trajectory_len,mode,freq,hd_frac,shd_frac,prec,rec,f1
ds_NumPoints18_Len9_Sync_Freq1.txt,18,9,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints18_Len9_Sync_Freq2.txt,18,9,Sync,2,0.555556,0.619048,0.200000,0.272727,0.230769
ds_NumPoints18_Len9_Sync_Freq3.txt,18,9,Sync,3,0.416667,0.523810,0.375000,0.545455,0.444444
ds_NumPoints21_Len12_Async_Freq1.txt,21,12,Async,1,0.166667,0.285714,0.727273,0.727273,0.727273
ds_NumPoints21_Len12_Async_Freq2.txt,21,12,Async,2,0.194444,0.333333,0.666667,0.727273,0.695652
ds_NumPoints21_Len12_Async_Freq3.txt,21,12,Async,3,0.166667,0.285714,0.692308,0.818182,0.750000
ds_NumPoints21_Len12_Sync_Freq1.txt,21,12,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len12_Sync_Freq2.txt,21,12,Sync,2,0.583333,0.619048,0.187500,0.272727,0.222222
ds_NumPoints21_Len12_Sync_Freq3.txt,21,12,Sync,3,0.388889,0.571429,0.400000,0.545455,0.461538
ds_NumPoints21_Len15_Async_Freq1.txt,21,15,Async,1,0.250000,0.380952,0.562500,0.818182,0.666667
ds_NumPoints21_Len15_Async_Freq2.txt,21,15,Async,2,0.277778,0.428571,0.529412,0.818182,0.642857
ds_NumPoints21_Len15_Async_Freq3.txt,21,15,Async,3,0.111111,0.190476,0.733333,1.000000,0.846154
ds_NumPoints21_Len15_Sync_Freq1.txt,21,15,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len15_Sync_Freq2.txt,21,15,Sync,2,0.527778,0.619048,0.250000,0.363636,0.296296
ds_NumPoints21_Len15_Sync_Freq3.txt,21,15,Sync,3,0.416667,0.523810,0.357143,0.454545,0.400000
ds_NumPoints21_Len18_Async_Freq1.txt,21,18,Async,1,0.250000,0.428571,0.555556,0.909091,0.689655
ds_NumPoints21_Len18_Async_Freq2.txt,21,18,Async,2,0.194444,0.333333,0.625000,0.909091,0.740741
ds_NumPoints21_Len18_Async_Freq3.txt,21,18,Async,3,0.194444,0.285714,0.642857,0.818182,0.720000
