nodes	mode	score	sf	ntraj	len	tf	hd_frac	shd_frac	precision	recall	f1
6	asynchronous	BDE	1	2	10	0.4	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	MDL	1	2	10	0.6	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	BDE	1	2	10	0.6	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	MDL	1	2	10	0.8	0.416667	0.523810	0.333333	0.071429	0.117647
6	asynchronous	BDE	1	2	10	0.8	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	MDL	1	2	15	0.4	0.416667	0.523810	0.333333	0.071429	0.117647
6	asynchronous	BDE	1	2	15	0.4	0.444444	0.571429	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	2	15	0.6	0.361111	0.428571	0.666667	0.142857	0.235294
6	asynchronous	BDE	1	2	15	0.6	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	MDL	1	2	15	0.8	0.361111	0.428571	0.600000	0.214286	0.315789
6	asynchronous	BDE	1	2	15	0.8	0.361111	0.428571	0.600000	0.214286	0.315789
6	asynchronous	MDL	1	2	20	0.4	0.361111	0.476190	0.600000	0.214286	0.315789
6	asynchronous	BDE	1	2	20	0.4	0.361111	0.476190	0.600000	0.214286	0.315789
6	asynchronous	MDL	1	2	20	0.6	0.388889	0.476190	0.500000	0.142857	0.222222
6	asynchronous	BDE	1	2	20	0.6	0.388889	0.476190	0.500000	0.142857	0.222222
6	asynchronous	MDL	1	2	20	0.8	0.472222	0.619048	0.200000	0.071429	0.105263
6	asynchronous	BDE	1	2	20	0.8	0.472222	0.619048	0.200000	0.071429	0.105263
6	asynchronous	MDL	1	3	5	0.4	0.361111	0.428571	1.000000	0.071429	0.133333
6	asynchronous	BDE	1	3	5	0.4	0.361111	0.428571	1.000000	0.071429	0.133333
6	asynchronous	MDL	1	3	5	0.6	0.472222	0.619048	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	3	5	0.6	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	3	5	0.8	0.527778	0.666667	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	3	5	0.8	0.472222	0.571429	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	3	10	0.4	0.500000	0.666667	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	3	10	0.4	0.500000	0.666667	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	3	10	0.6	0.472222	0.619048	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	3	10	0.6	0.472222	0.619048	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	3	10	0.8	0.416667	0.523810	0.333333	0.071429	0.117647
6	asynchronous	BDE	1	3	10	0.8	0.416667	0.523810	0.333333	0.071429	0.117647
6	asynchronous	MDL	1	3	15	0.4	0.444444	0.571429	0.250000	0.071429	0.111111
6	asynchronous	BDE	1	3	15	0.4	0.444444	0.571429	0.250000	0.071429	0.111111
6	asynchronous	MDL	1	3	15	0.6	0.472222	0.619048	0.200000	0.071429	0.105263
6	asynchronous	BDE	1	3	15	0.6	0.472222	0.619048	0.200000	0.071429	0.105263
6	asynchronous	MDL	1	3	15	0.8	0.472222	0.619048	0.200000	0.071429	0.105263
6	asynchronous	BDE	1	3	15	0.8	0.472222	0.619048	0.200000	0.071429	0.105263
6	asynchronous	MDL	1	3	20	0.4	0.444444	0.571429	0.250000	0.071429	0.111111
6	asynchronous	BDE	1	3	20	0.4	0.444444	0.571429	0.250000	0.071429	0.111111
6	asynchronous	MDL	1	3	20	0.6	0.444444	0.571429	0.250000	0.071429	0.111111
6	asynchronous	BDE	1	3	20	0.6	0.444444	0.571429	0.250000	0.071429	0.111111
6	asynchronous	MDL	1	3	20	0.8	0.444444	0.571429	0.333333	0.142857	0.200000
6	asynchronous	BDE	1	3	20	0.8	0.444444	0.571429	0.333333	0.142857	0.200000
6	asynchronous	MDL	2	1	5	0.4	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	BDE	2	1	5	0.4	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	2	1	5	0.6	0.416667	0.523810	0.000000	0.000000	0.000000
6	asynchronous	BDE	2	1	5	0.6	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	2	1	5	0.8	0.361111	0.428571	1.000000	0.071429	0.133333
